"n","nnodes","pnodes","rate","delta"
443186,5234985,0.0463222,0.092466,8862.0
443986,5243810,0.0463167,0.0924563,8832.0
444786,5252649,0.0463113,0.092447,8674.5
445586,5261159,0.0463031,0.0924326,8452.5
446386,5269554,0.0462938,0.0924165,8590.5
447186,5278340,0.0462881,0.0924064,8588.0
447986,5286730,0.0462788,0.0923904,8469.5
448786,5295279,0.0462711,0.0923768,8488.0
449586,5303706,0.0462622,0.0923614,8567.0
450386,5312413,0.0462559,0.0923503,8793.5
451186,5321293,0.046251,0.0923419,8860.0
451986,5330133,0.0462459,0.0923329,9006.5
452786,5339306,0.0462436,0.0923289,8790.0
453586,5347713,0.0462347,0.0923135,8567.5
454386,5356441,0.0462286,0.0923029,8802.5
455186,5365318,0.0462239,0.0922946,8948.0
455986,5374337,0.0462203,0.0922884,9025.5
456786,5383369,0.0462169,0.0922825,9085.5
457586,5392508,0.0462145,0.0922781,8770.5
458386,5400910,0.0462057,0.0922628,8623.5
459186,5409755,0.0462007,0.0922542,8870.5
459986,5418651,0.0461962,0.0922463,8887.0
460786,5427529,0.0461916,0.0922382,8807.5
461586,5436266,0.0461857,0.0922281,8610.0
462386,5444749,0.0461778,0.0922142,8591.0
463186,5453448,0.0461717,0.0922035,8822.0
463986,5462393,0.0461677,0.0921966,8884.5
464786,5471217,0.0461626,0.0921878,8926.0
465586,5480245,0.0461594,0.0921821,8813.5
